product_id,product_name,category_name,brand_name,sku_name,standard_price,product_status,shop_id,listed_date,updated_at,etl_time,source_system,etl_batch
P000001,橙子食品生鲜商品1,食品生鲜,橙子,标准款,9245.97,上架,P000001,2025-07-17,2025-11-04 09:48:19,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000002,青木母婴用品商品2,母婴用品,青木,豪华款,6275.79,缺货,P000001,2023-07-23,2024-01-14 16:26:40,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000003,山川食品生鲜商品3,食品生鲜,山川,Pro版,8891.44,上架,P000003,2021-07-18,2025-05-14 20:01:45,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000004,星河食品生鲜商品4,食品生鲜,星河,升级款,2059.11,上架,P000002,2022-08-18,2025-11-15 00:34:47,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000005,极光食品生鲜商品5,食品生鲜,极光,青春版,9821.16,上架,P000004,2023-05-20,2024-06-12 22:27:51,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000006,银杉美妆个护商品6,美妆个护,银杉,标准款,1103.61,下架,P000001,2022-05-18,2023-02-17 10:25:30,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000007,北辰运动户外商品7,运动户外,北辰,Pro版,8898.72,下架,P000007,2025-05-01,2025-12-27 03:48:22,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000008,云启图书文具商品8,图书文具,云启,青春版,9906.39,缺货,P000004,2021-01-15,2023-06-18 11:17:41,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000009,海蓝母婴用品商品9,母婴用品,海蓝,标准款,4648.38,上架,P000007,2022-05-21,2023-12-24 22:05:48,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000010,青木手机数码商品10,手机数码,青木,标准款,6632.97,缺货,P000006,2021-01-12,2023-04-27 02:50:49,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000011,银杉家用电器商品11,家用电器,银杉,标准款,6735.13,上架,P000007,2023-10-22,2025-05-16 02:06:07,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000012,飞鹿家居家装商品12,家居家装,飞鹿,青春版,5221.53,下架,P000010,2022-12-11,2024-06-08 11:41:34,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000013,青木运动户外商品13,运动户外,青木,标准款,9142.52,下架,P000006,2020-04-24,2020-10-10 04:56:33,2026-07-10 17:29:08.301937,ECommerce,202607101729
P000014,星河家居家装商品14,家居家装,星河,青春版,7768.25,上架,P000003,2023-09-06,2025-03-24 11:00:03,2026-07-10 17:29:08.301937,ECommerce,202607101729
